Postsynaptic_ID	c_i
720575940608496835	0.5373
720575940608505795	0.2632
720575940608517385	0.7429
720575940608524483	0.2500
720575940608525763	0.0980
720575940608527150	0.1538
720575940608527299	0.6220
720575940608530955	0.4239
720575940608532675	0.1596
720575940608535747	0.3250
720575940608535819	0.0000
720575940608537027	0.6190
720575940608544011	0.1053
720575940608550409	0.6154
720575940608564233	0.4020
720575940608571145	0.2326
720575940608621614	0.1667
720575940608633045	1.0000
720575940608633134	0.4945
720575940608644654	0.1351
720575940608655918	0.1111
720575940608657621	0.1667
720575940608662485	0.3585
720575940608662574	0.3302
720575940608663765	0.6992
720575940608682453	1.0000
720575940608708875	0.1594
720575940608767957	0.8235
720575940608768213	0.0000
720575940608772821	0.2121
720575940608774776	0.7018
720575940608801749	0.4091
720575940608806776	0.4938
720575940608810709	0.4324
720575940608820600	0.3800
720575940608823509	0.3696
720575940608997571	0.7661
720575940609006200	1.0000
720575940609006712	0.6118
720575940609066030	0.2143
720575940609097058	0.4483
720575940609104579	0.9524
720575940609132642	1.0000
720575940609133102	0.2353
720575940609143672	0.2609
720575940609149394	0.3014
720575940609153746	0.3562
720575940609163986	0.0000
720575940609171576	0.3824
720575940609179331	0.0278
720575940609184210	0.4211
720575940609190866	0.5443
720575940609200708	0.6596
720575940609202244	0.8378
720575940609203268	0.6712
720575940609208530	0.4444
720575940609220291	0.5625
720575940609226702	0.6905
720575940609271854	0.3143
720575940609318446	0.3750
720575940609347448	0.1154
720575940609378424	0.8429
720575940609399506	0.0741
720575940609405646	0.8554
720575940609533538	0.0000
720575940609573842	0.3676
720575940609651554	0.1562
720575940609684946	0.3636
720575940609694818	0.2048
720575940609708100	0.1392
720575940609747780	0.5213
720575940609768290	0.0484
720575940609781966	0.2328
720575940609836898	0.2326
720575940609871253	0.1154
720575940609873358	0.5714
720575940609921230	0.4000
720575940609935310	0.5161
720575940609940373	0.4262
720575940609941653	0.7708
720575940609944526	0.2778
720575940609950869	1.0000
720575940609963248	0.3511
720575940609970801	0.4667
720575940609979505	0.7273
720575940609999217	0.5422
720575940610012024	0.8000
720575940610029432	0.7941
720575940610101210	0.4766
720575940610137050	0.5789
720575940610140378	0.5000
720575940610142869	0.2143
720575940610147826	0.3500
720575940610159480	0.7857
720575940610167987	0.4545
720575940610175218	0.6533
720575940610191795	0.3036
720575940610206387	0.2500
720575940610210034	0.7917
720575940610214769	0.6842
720575940610218360	0.7216
720575940610238361	0.6444
720575940610307374	0.4348
720575940610308757	0.5789
720575940610323674	0.4157
720575940610336610	0.4868
720575940610347929	1.0000
720575940610358501	0.1646
720575940610359650	0.2680
720575940610375726	0.6935
720575940610378865	1.0000
720575940610380498	0.0577
720575940610386661	0.2623
720575940610391854	0.0000
720575940610393842	0.3196
720575940610395438	0.2564
720575940610406776	0.2941
720575940610410609	0.0698
720575940610470130	0.8148
720575940610476506	0.5000
720575940610505426	1.0000
720575940610505621	0.6833
720575940610529656	0.4643
720575940610535890	0.5692
720575940610543257	0.3793
720575940610562713	0.3462
720575940610585011	1.0000
720575940610609075	0.5195
720575940610614757	0.5094
720575940610617317	0.3178
720575940610617753	0.6196
720575940610618341	0.2553
720575940610631544	0.3387
720575940610637235	0.6780
720575940610649464	0.3833
720575940610658674	1.0000
720575940610669786	0.5652
720575940610676403	0.3889
720575940610690162	0.5161
720575940610691507	0.4634
720575940610710130	0.8250
720575940610739930	0.7500
720575940610743282	0.5641
720575940610751129	0.0000
720575940610773171	0.0000
720575940610773714	0.8333
720575940610774451	0.6023
720575940610784179	0.7692
720575940610793395	0.2444
720575940610812258	0.2903
720575940610823010	0.0000
720575940610823141	0.7500
720575940610833250	0.1786
720575940610841074	0.2800
720575940610846818	0.5922
720575940610847842	0.7027
720575940610849742	0.6129
720575940610856874	0.1562
720575940610862506	0.4074
720575940610885330	0.6066
720575940610886610	0.2344
720575940610901234	0.3095
720575940610906521	0.1739
720575940610907490	0.5085
720575940610921642	1.0000
720575940610929778	1.0000
720575940610942066	0.0000
720575940610943897	0.5281
720575940610944022	0.6429
720575940610945558	0.6500
720575940610946070	0.6290
720575940610946730	0.3176
720575940610951577	0.0962
720575940610952089	0.0000
720575940610960994	0.3471
720575940610963734	0.6377
720575940610990821	0.3056
720575940611001061	0.1111
720575940611013785	0.9916
720575940611035365	0.4516
720575940611052517	0.1967
720575940611053029	0.0000
720575940611059609	0.9167
720575940611098517	0.3636
720575940611102578	0.0816
720575940611104229	0.4595
720575940611111061	0.3333
720575940611111317	0.5224
720575940611111829	0.4458
720575940611113109	0.1043
720575940611129571	0.7442
720575940611196110	0.0000
720575940611204323	0.2222
720575940611208817	0.6471
720575940611210865	0.3299
720575940611229297	0.7922
720575940611263090	0.0610
720575940611284174	0.4016
720575940611285454	0.0000
720575940611286990	1.0000
720575940611327254	0.5333
720575940611330070	0.4231
720575940611343054	0.4722
720575940611343218	1.0000
720575940611350234	0.3469
720575940611358926	0.7576
720575940611370610	0.1125
720575940611390742	1.0000
720575940611394019	0.5417
720575940611400050	0.4222
720575940611424882	0.3333
720575940611450134	0.5000
720575940611453107	0.7333
720575940611454833	0.1978
720575940611471090	0.3125
720575940611473587	0.7434
720575940611489010	0.4040
720575940611532949	0.2679
720575940611548821	0.1089
720575940611569301	0.3939
720575940611578074	0.4648
720575940611579541	0.5926
720575940611586453	0.5970
720575940611591829	0.4667
720575940611592154	0.4179
720575940611597795	0.3708
720575940611611285	0.4878
720575940611611378	1.0000
720575940611612387	0.5333
720575940611615986	0.3974
720575940611644825	0.5955
720575940611652374	0.1429
720575940611657881	0.3696
720575940611660714	0.6739
720575940611661541	0.7246
720575940611664281	0.3433
720575940611669145	0.2632
720575940611669674	0.0108
720575940611685273	0.4823
720575940611686629	0.5645
720575940611686809	0.2880
720575940611694565	0.2295
720575940611696042	0.3231
720575940611697066	0.5000
720575940611702165	0.5422
720575940611704813	0.0169
720575940611724437	0.5172
720575940611728563	1.0000
720575940611733997	0.2907
720575940611748594	0.2672
720575940611760021	0.8736
720575940611769059	0.3571
720575940611771029	1.0000
720575940611802330	0.5224
720575940611803490	0.0000
720575940611810531	0.7975
720575940611812835	0.5526
720575940611837041	0.3438
720575940611837809	0.6111
720575940611855729	0.1346
720575940611873242	0.0896
720575940611902577	0.4727
720575940611903601	0.4257
720575940611936474	0.4217
720575940611943976	0.2857
720575940611946482	0.4444
720575940611954801	0.7059
720575940611960872	0.3846
720575940611983322	0.5103
720575940611985448	0.4500
720575940611987240	0.4225
720575940611988008	0.6600
720575940611996591	1.0000
720575940612008818	0.5443
720575940612009074	1.0000
720575940612009903	0.5189
720575940612019570	0.8421
720575940612031411	0.1304
720575940612067034	0.0641
720575940612072685	0.4211
720575940612079853	0.6042
720575940612091601	0.1649
720575940612099053	0.4135
720575940612099309	0.2576
720575940612104627	0.5000
720575940612111346	0.4045
720575940612151538	0.6463
720575940612169709	0.6111
720575940612178418	0.0000
720575940612190693	0.2131
720575940612194983	0.3167
720575940612196589	0.7342
720575940612231282	0.5495
720575940612240918	0.2128
720575940612266213	0.2222
720575940612287283	0.4923
720575940612337203	0.5773
720575940612339370	0.7143
720575940612344293	0.5146
720575940612352423	0.0000
720575940612356904	0.5349
720575940612362663	1.0000
720575940612372650	0.5556
720575940612384665	0.3220
720575940612421290	0.6078
720575940612429994	0.4000
720575940612432602	0.0000
720575940612435198	0.0000
720575940612435454	1.0000
720575940612436264	0.3636
720575940612450730	0.4937
720575940612453603	0.1765
720575940612458211	0.7363
720575940612473128	0.8630
720575940612490723	0.5652
720575940612563454	0.4725
720575940612572670	0.3846
720575940612575230	0.8913
720575940612576254	1.0000
720575940612587286	0.7600
720575940612590102	0.1667
720575940612590503	0.4800
720575940612590754	0.3261
720575940612602163	0.5942
720575940612606673	0.2083
720575940612607953	0.0309
720575940612613551	1.0000
720575940612626966	0.1765
720575940612647282	0.2043
720575940612650792	0.6667
720575940612661782	0.3492
720575940612664482	0.2113
720575940612668018	0.3137
720575940612668834	0.7778
720575940612680818	0.3235
720575940612686358	0.6901
720575940612690338	0.2667
720575940612692672	0.6591
720575940612706706	0.2267
720575940612714671	0.1341
720575940612717202	0.3529
720575940612723409	0.0000
720575940612725906	0.3208
720575940612728466	0.5075
720575940612729714	0.3830
720575940612737233	0.5333
720575940612740466	0.8868
720575940612740886	0.7907
720575940612743958	0.0000
720575940612747158	0.1667
720575940612754582	0.3333
720575940612758934	0.1053
720575940612763542	1.0000
720575940612765846	0.3977
720575940612766102	0.4667
720575940612770418	0.5600
720575940612778646	0.4583
720575940612789219	0.3478
720575940612796786	0.0000
720575940612797480	0.2857
720575940612812914	0.5286
720575940612817583	0.3173
720575940612829863	0.3425
720575940612846962	0.5938
720575940612853354	0.3500
720575940612870381	0.3458
720575940612872173	0.0000
720575940612879341	0.6622
720575940612879853	0.3043
720575940612896106	0.2892
720575940612910486	0.2020
720575940612918930	0.5714
720575940612924054	0.2568
720575940612924522	0.2991
720575940612930710	0.2527
720575940612961686	0.2895
720575940612972455	0.8333
720575940613017059	0.4583
720575940613023911	0.4600
720575940613041123	1.0000
720575940613042403	0.2059
720575940613049315	0.7604
720575940613071587	0.1837
720575940613113238	0.3109
720575940613119459	0.0714
720575940613141987	0.6133
720575940613152938	0.0000
720575940613156067	0.4722
720575940613188319	0.3441
720575940613197608	0.0917
720575940613200918	0.3226
720575940613213151	0.2353
720575940613218344	0.7324
720575940613224446	0.6591
720575940613237758	0.2222
720575940613248479	0.6136
720575940613257664	0.1882
720575940613258975	0.7727
720575940613272799	0.6769
720575940613284063	0.8158
720575940613301410	0.3830
720575940613315309	0.5745
720575940613317738	0.3000
720575940613337640	0.3077
720575940613348246	0.6364
720575940613353538	1.0000
720575940613358658	1.0000
720575940613359266	0.8000
720575940613364461	0.5556
720575940613383633	0.8605
720575940613386050	0.5094
720575940613400785	0.6804
720575940613403458	0.0968
720575940613407981	0.3282
720575940613421890	0.4789
720575940613434178	0.3676
720575940613434530	0.5366
720575940613442154	0.5196
720575940613452525	0.5147
720575940613460034	0.0000
720575940613478422	0.2105
720575940613501855	0.1852
720575940613507946	0.0000
720575940613532831	0.1327
720575940613532979	0.0217
720575940613540767	0.3607
720575940613563187	0.6000
720575940613593503	0.3696
720575940613622312	0.7000
720575940613681458	0.4824
720575940613690031	0.1395
720575940613713704	0.1915
720575940613727399	0.3333
720575940613729576	0.0000
720575940613735948	0.6667
720575940613737647	0.7143
720575940613738415	0.3913
720575940613741864	0.0000
720575940613743023	0.5098
720575940613752999	0.5670
720575940613764364	0.8219
720575940613773566	0.5854
720575940613774334	0.5667
720575940613776179	0.0000
720575940613776543	0.6207
720575940613782796	0.5000
720575940613783106	0.6341
720575940613784386	0.7403
720575940613793602	0.4737
720575940613796527	0.6105
720575940613797295	0.3000
720575940613799436	0.4717
720575940613859838	0.5632
720575940613863330	0.6129
720575940613864498	0.5316
720575940613867682	0.2639
720575940613876447	0.3662
720575940613897890	0.1134
720575940613909555	0.4310
720575940613920159	0.4933
720575940613929670	0.0000
720575940613939090	0.1848
720575940613941042	0.9894
720575940613954769	0.0000
720575940613961403	0.5306
720575940613975455	0.6075
720575940613977041	0.7273
720575940613978892	1.0000
720575940613987635	0.3667
720575940613987730	0.7761
720575940614008785	0.0000
720575940614010419	0.6395
720575940614027059	0.2069
720575940614027074	0.3095
720575940614033932	0.2603
720575940614036019	0.6491
720575940614037811	0.7917
720575940614109506	0.6494
720575940614115515	0.8140
720575940614121147	0.4615
720575940614130482	0.6264
720575940614131131	0.5294
720575940614132667	0.3898
720575940614143942	0.1136
720575940614148283	0.9655
720575940614176927	0.4231
720575940614180714	0.0000
720575940614183218	0.6116
720575940614183786	0.6111
720575940614184204	0.5303
720575940614186602	0.7474
720575940614199914	0.8800
720575940614200426	0.3964
720575940614203916	0.7727
720575940614207850	0.5000
720575940614218346	0.4918
720575940614219370	0.1910
720575940614224490	0.3600
720575940614229159	0.5000
720575940614229415	0.4583
720575940614229758	0.2000
720575940614240766	0.5263
720575940614248446	0.2213
720575940614251670	0.1667
720575940614252967	0.5063
720575940614263719	0.0000
720575940614281214	0.0000
720575940614282238	0.5132
720575940614283006	0.8276
720575940614285254	0.6000
720575940614304012	0.0000
720575940614306814	0.4737
720575940614308002	0.0000
720575940614308146	0.0385
720575940614308775	0.4286
720575940614311079	0.2667
720575940614313890	0.6780
720575940614313996	0.0000
720575940614318482	0.5227
720575940614326439	0.3000
720575940614327202	0.7143
720575940614348394	0.5522
720575940614354619	0.1972
720575940614371986	0.5164
720575940614386738	0.2079
720575940614393250	0.3723
720575940614404288	0.2714
720575940614412946	0.3793
720575940614416018	0.8070
720575940614418118	0.0000
720575940614428722	0.6735
720575940614447922	0.1642
720575940614484626	0.7045
720575940614486322	0.5167
720575940614486690	0.7755
720575940614490018	0.3721
720575940614495093	0.6829
720575940614495138	0.5000
720575940614498060	0.2308
720575940614502128	0.5897
720575940614522043	0.0000
720575940614523871	1.0000
720575940614524127	0.5056
720575940614533226	0.2778
720575940614534367	0.4667
720575940614544034	0.2727
720575940614549650	0.5357
720575940614549906	0.7121
720575940614551954	0.5833
720575940614586418	0.2976
720575940614605458	0.1750
720575940614606738	0.3196
720575940614614203	0.0000
720575940614625211	0.3846
720575940614635666	0.3277
720575940614652818	0.6032
720575940614667926	0.2615
720575940614674282	0.5041
720575940614678834	0.4524
720575940614714518	0.0755
720575940614742687	0.0323
720575940614744991	0.4932
720575940614749883	0.4783
720575940614755478	0.3211
720575940614761026	0.0685
720575940614768278	0.3976
720575940614769567	0.5000
720575940614770847	0.0000
720575940614772383	0.5800
720575940614777247	0.7727
720575940614778454	0.3396
720575940614781546	0.4051
720575940614783042	0.1625
720575940614784918	0.5670
720575940614785130	0.5000
720575940614793026	0.5443
720575940614796354	0.2535
720575940614803286	0.4000
720575940614811222	0.8539
720575940614816598	0.3485
720575940614822506	0.0000
720575940614822742	0.0217
720575940614824095	0.1585
720575940614825026	0.5789
720575940614825622	0.1585
720575940614845802	0.2254
720575940614854294	0.0000
720575940614861941	0.7826
720575940614861974	0.5385
720575940614862230	0.3750
720575940614869387	0.6957
720575940614871402	0.0000
720575940614887830	0.2203
720575940614888854	1.0000
720575940614890902	0.6000
720575940614893930	0.1230
720575940614899061	0.8000
720575940614899851	0.8675
720575940614900886	0.1500
720575940614902667	0.5000
720575940614909579	0.4565
720575940614925963	0.3182
720575940614969055	0.4754
720575940614981087	0.3400
720575940614983274	0.4000
720575940614984927	0.4500
720575940615019231	0.6634
720575940615066335	0.5714
720575940615068383	0.5306
720575940615072373	0.8846
720575940615090444	0.6042
720575940615094284	0.4775
720575940615101452	0.7308
720575940615101708	0.4463
720575940615113867	0.4865
720575940615125307	0.5211
720575940615125877	0.4458
720575940615133894	0.0000
720575940615134918	0.4773
720575940615136059	0.5000
720575940615147788	0.6818
720575940615153094	0.5417
720575940615193100	0.6125
720575940615219778	0.4286
720575940615228502	0.4528
720575940615237170	0.5854
720575940615243020	0.3210
720575940615244082	0.0000
720575940615252786	0.3043
720575940615255090	0.7895
720575940615257942	0.1538
720575940615262786	0.3857
720575940615263903	0.3455
720575940615270559	0.0000
720575940615270962	0.7424
720575940615274838	0.4231
720575940615281291	0.6905
720575940615283618	0.6000
720575940615289759	0.0000
720575940615320076	0.4128
720575940615323990	0.3421
720575940615332418	0.0000
720575940615344315	0.5493
720575940615345339	0.3448
720575940615346363	0.5545
720575940615356347	0.5395
720575940615358038	0.3881
720575940615373398	1.0000
720575940615386324	0.0000
720575940615395414	1.0000
720575940615401433	0.8871
720575940615405378	0.1714
720575940615409625	0.7250
720575940615447764	0.1538
720575940615456985	0.8571
720575940615465433	0.5070
720575940615481489	0.3158
720575940615507641	0.1379
720575940615520086	0.3214
720575940615527995	0.8125
720575940615528251	0.4118
720575940615539385	0.2821
720575940615569723	0.5000
720575940615571601	0.4571
720575940615577542	0.4531
720575940615604363	0.0119
720575940615638540	0.6146
720575940615647244	0.3600
720575940615651014	0.5556
720575940615696070	0.6163
720575940615713292	0.0000
720575940615714060	0.3462
720575940615717009	0.2152
720575940615728102	0.4211
720575940615737531	0.0000
720575940615754613	0.7500
720575940615755921	0.0000
720575940615764422	0.6875
720575940615768693	0.5862
720575940615780353	0.1429
720575940615783837	0.0000
720575940615785228	0.1852
720575940615798540	0.4400
720575940615800076	0.0000
720575940615816754	0.2609
720575940615838662	0.8305
720575940615839174	0.3488
720575940615839581	0.6832
720575940615846237	0.7083
720575940615847005	0.4881
720575940615858644	0.4746
720575940615859385	0.5917
720575940615868102	0.3333
720575940615876294	0.5462
720575940615885661	0.5211
720575940615892966	0.1897
720575940615894173	0.2500
720575940615895858	0.5215
720575940615896989	0.7470
720575940615897245	0.0222
720575940615897501	0.6481
720575940615901597	0.3158
720575940615903121	0.1212
720575940615907997	0.4386
720575940615914982	0.9020
720575940615927197	0.3826
720575940615931293	0.2268
720575940615957433	0.7895
720575940615959252	0.7788
720575940615961684	0.3077
720575940615962043	0.2683
720575940615964884	0.7000
720575940615974493	0.6765
720575940615975227	0.6207
720575940615978802	0.4275
720575940615980338	0.2055
720575940615980850	0.8519
720575940616008309	0.0000
720575940616009729	0.4524
720575940616023225	0.6667
720575940616028390	0.0000
720575940616041913	0.8000
720575940616044850	0.3529
720575940616052625	0.2299
720575940616068539	0.2150
