flyid,sugarR_100Hz,sugarR_140Hz,sugarR_180Hz,sugarR_200Hz,sugarR_20Hz,sugarR_60Hz
720575940605420902,0.0,0.03333333333333333,0.23333333333333334,0.7666666666666667,0.0,0.0
720575940605513649,3.5,4.466666666666667,5.733333333333333,6.066666666666666,0.0,1.6333333333333333
720575940605658033,19.333333333333332,22.233333333333334,24.066666666666666,25.5,0.0,9.466666666666667
720575940605682790,11.4,14.0,17.033333333333335,18.466666666666665,0.0,4.6
720575940606391218,0.06666666666666667,0.3333333333333333,1.1,1.3,0.0,0.0
720575940606607234,14.666666666666666,17.133333333333333,17.9,18.733333333333334,0.0,7.733333333333333
720575940606852018,0.2,0.7333333333333333,1.7666666666666666,2.5,0.0,0.03333333333333333
720575940606866377,52.06666666666667,68.2,79.9,85.56666666666666,0.03333333333333333,29.0
720575940607193986,29.133333333333333,37.4,42.6,45.266666666666666,0.0,14.733333333333333
720575940607250610,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.9
720575940607272649,41.766666666666666,54.733333333333334,64.33333333333333,69.83333333333333,0.0,20.933333333333334
720575940607386290,13.366666666666667,22.766666666666666,30.9,33.766666666666666,0.0,3.3666666666666667
720575940607387314,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0
720575940607451081,28.233333333333334,32.43333333333333,36.8,37.9,0.26666666666666666,15.933333333333334
720575940607689394,3.2666666666666666,7.066666666666666,12.633333333333333,15.3,0.0,0.16666666666666666
720575940608188427,0.0,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0
720575940608349379,3.5,4.833333333333333,6.8,7.133333333333334,0.0,1.5
720575940608498780,17.533333333333335,24.0,29.4,32.56666666666667,0.0,7.133333333333334
720575940608735241,14.6,20.733333333333334,26.566666666666666,29.866666666666667,0.0,5.233333333333333
720575940609016843,3.5,4.766666666666667,6.333333333333333,6.666666666666667,0.0,1.4666666666666666
720575940609133269,10.566666666666666,17.766666666666666,25.2,28.3,0.0,2.033333333333333
720575940609405635,15.4,23.633333333333333,30.666666666666668,34.96666666666667,0.0,3.7666666666666666
720575940609407939,33.0,39.96666666666667,45.63333333333333,48.9,0.0,16.533333333333335
720575940609915204,22.966666666666665,32.46666666666667,39.46666666666667,42.96666666666667,0.0,8.7
720575940609935172,13.0,16.533333333333335,17.733333333333334,19.266666666666666,0.0,6.166666666666667
720575940609939780,12.466666666666667,17.0,20.666666666666668,23.5,0.0,2.033333333333333
720575940609993284,19.466666666666665,22.1,23.633333333333333,24.633333333333333,0.0,8.266666666666667
720575940610000964,12.733333333333333,19.5,24.933333333333334,27.133333333333333,0.0,2.8333333333333335
720575940610001220,4.6,5.566666666666666,10.066666666666666,12.1,0.0,2.7333333333333334
720575940610054980,50.93333333333333,66.13333333333334,78.6,84.06666666666666,0.0,18.933333333333334
720575940610058052,0.0,0.06666666666666667,0.16666666666666666,0.5333333333333333,0.0,0.03333333333333333
720575940610173048,0.26666666666666666,0.2,0.06666666666666667,0.03333333333333333,0.0,0.06666666666666667
720575940610232274,6.333333333333333,9.7,14.2,16.366666666666667,0.0,0.9333333333333333
720575940610258552,22.1,30.133333333333333,36.3,39.86666666666667,0.0,9.366666666666667
720575940610611246,6.466666666666667,10.1,13.433333333333334,14.933333333333334,0.0,1.4333333333333333
720575940610621026,3.7333333333333334,2.933333333333333,2.2666666666666666,2.5,0.0,3.033333333333333
720575940610677828,32.666666666666664,44.733333333333334,54.5,58.86666666666667,0.0,12.7
720575940610803554,18.433333333333334,28.833333333333332,36.166666666666664,39.833333333333336,0.0,4.8
720575940610916465,15.566666666666666,28.833333333333332,39.4,43.93333333333333,0.0,1.2666666666666666
720575940611015122,7.766666666666667,24.866666666666667,42.166666666666664,49.86666666666667,0.0,0.7333333333333333
720575940611151406,1.2333333333333334,5.966666666666667,10.933333333333334,13.733333333333333,0.0,0.03333333333333333
720575940611160930,21.9,28.266666666666666,33.56666666666667,36.833333333333336,0.0,7.933333333333334
720575940611164770,7.633333333333334,12.433333333333334,16.7,18.666666666666668,0.0,0.9333333333333333
720575940611366058,0.6333333333333333,2.966666666666667,9.4,12.366666666666667,0.0,0.0
720575940611436408,16.733333333333334,23.4,28.8,31.9,0.0,6.466666666666667
720575940611548878,27.833333333333332,38.53333333333333,49.233333333333334,52.86666666666667,0.0,9.966666666666667
720575940611549902,6.233333333333333,17.066666666666666,25.066666666666666,28.233333333333334,0.0,0.1
720575940611772083,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0
720575940611875570,98.36666666666666,138.8,175.56666666666666,195.26666666666668,19.366666666666667,56.93333333333333
720575940611988197,1.3,2.2,5.666666666666667,8.133333333333333,0.0,0.06666666666666667
720575940612036837,35.6,36.4,35.8,36.1,1.0333333333333334,24.5
720575940612064113,46.93333333333333,63.13333333333333,74.93333333333334,80.53333333333333,0.0,24.366666666666667
720575940612154339,0.0,0.03333333333333333,0.26666666666666666,0.9,0.0,0.0
720575940612208858,8.6,11.166666666666666,13.3,14.366666666666667,0.0,2.1666666666666665
720575940612289010,3.2333333333333334,7.6,13.8,16.7,0.0,0.2
720575940612357618,10.733333333333333,11.9,12.666666666666666,12.366666666666667,0.0,5.2
720575940612364530,0.03333333333333333,0.0,0.0,0.0,0.0,0.3
720575940612423922,47.86666666666667,58.666666666666664,67.86666666666666,72.26666666666667,0.06666666666666667,28.733333333333334
720575940612479205,0.7,6.766666666666667,13.9,16.7,0.0,0.0
720575940612537061,1.6,3.0,4.266666666666667,5.4,0.0,0.5333333333333333
720575940612558061,21.9,27.4,31.766666666666666,35.233333333333334,0.0,10.966666666666667
720575940612574435,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
720575940612603289,2.1666666666666665,1.8666666666666667,1.2333333333333334,1.3666666666666667,0.0,2.2333333333333334
720575940612611301,54.233333333333334,68.46666666666667,79.33333333333333,84.1,1.0666666666666667,32.3
720575940612648106,0.6333333333333333,10.266666666666667,23.5,29.2,0.0,0.0
720575940612670570,99.9,136.86666666666667,180.66666666666666,199.4,20.333333333333332,59.93333333333333
720575940612692633,44.43333333333333,52.766666666666666,59.2,62.733333333333334,0.06666666666666667,26.7
720575940612766515,3.5,4.766666666666667,6.466666666666667,6.833333333333333,0.0,1.4666666666666666
720575940612865814,0.0,0.06666666666666667,1.8,4.666666666666667,0.0,0.0
720575940612888178,24.266666666666666,32.06666666666667,37.46666666666667,41.5,0.0,11.1
720575940612906518,60.6,74.66666666666667,84.16666666666667,88.46666666666667,0.5,37.63333333333333
720575940612952557,6.9,11.833333333333334,18.3,20.8,0.0,0.7
720575940613004402,13.6,18.933333333333334,25.0,27.366666666666667,0.0,5.0
720575940613347299,21.733333333333334,27.533333333333335,31.633333333333333,34.53333333333333,0.0,10.5
720575940613589167,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
720575940613670893,10.966666666666667,17.9,24.2,27.366666666666667,0.0,2.2
720575940613687789,23.6,33.1,42.3,46.666666666666664,0.0,7.566666666666666
720575940613743569,2.1333333333333333,3.6,2.3,2.8333333333333335,0.0,0.8666666666666667
720575940613929391,16.8,26.3,35.266666666666666,39.166666666666664,0.0,5.966666666666667
720575940613943215,10.566666666666666,17.666666666666668,24.033333333333335,26.866666666666667,0.0,2.2
720575940614128691,18.533333333333335,26.4,27.7,28.433333333333334,0.0,2.4
720575940614187006,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
720575940614352278,0.06666666666666667,0.0,0.0,0.0,0.0,0.9333333333333333
720575940614386070,0.23333333333333334,0.43333333333333335,0.5,0.5333333333333333,0.0,0.16666666666666666
720575940614465478,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0
720575940614660519,7.566666666666666,17.2,26.066666666666666,30.833333333333332,0.0,0.3
720575940614730914,18.466666666666665,15.166666666666666,12.8,11.6,0.0,10.766666666666667
720575940614763666,61.766666666666666,76.5,88.43333333333334,94.43333333333334,9.4,44.63333333333333
720575940614909506,2.7333333333333334,1.6666666666666667,0.7666666666666667,0.4666666666666667,0.0,3.4
720575940615036319,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0
720575940615041430,95.73333333333333,109.76666666666667,120.33333333333333,125.2,2.2,62.5
720575940615052812,7.533333333333333,12.7,16.966666666666665,19.4,0.0,0.7333333333333333
720575940615153494,3.433333333333333,4.466666666666667,5.5,5.966666666666667,0.0,1.0
720575940615296818,16.333333333333332,23.0,29.233333333333334,32.06666666666667,0.0,6.066666666666666
720575940615564959,2.3666666666666667,3.9,5.033333333333333,6.066666666666666,0.0,0.8333333333333334
720575940615582111,0.6333333333333333,2.4,5.366666666666666,6.6,0.0,0.03333333333333333
720575940615623867,3.2,5.166666666666667,6.8,7.966666666666667,0.0,1.3
720575940615671106,62.3,77.33333333333333,88.23333333333333,93.66666666666667,0.0,32.53333333333333
720575940615715003,4.933333333333334,3.6666666666666665,2.6666666666666665,1.8666666666666667,0.0,5.166666666666667
720575940615811670,2.6666666666666665,4.3,8.666666666666666,10.766666666666667,0.0,0.8
720575940616018956,57.06666666666667,71.36666666666666,82.16666666666667,87.03333333333333,0.0,26.533333333333335
720575940616103218,57.7,74.4,87.1,93.03333333333333,0.23333333333333334,34.6
720575940616466260,37.13333333333333,47.9,55.6,60.266666666666666,0.0,16.533333333333335
720575940616644411,15.1,21.533333333333335,27.133333333333333,30.066666666666666,0.0,7.3
720575940616857174,32.9,42.13333333333333,50.3,55.166666666666664,0.0,15.9
720575940616860758,0.6,1.4,2.6666666666666665,4.0,0.0,0.1
720575940616864086,26.033333333333335,31.133333333333333,35.53333333333333,37.766666666666666,0.0,12.666666666666666
720575940616864217,33.2,43.233333333333334,49.96666666666667,53.56666666666667,0.0,14.133333333333333
720575940616885538,97.33333333333333,138.9,174.43333333333334,198.0,20.133333333333333,59.766666666666666
720575940617000768,95.26666666666667,131.6,169.4,196.93333333333334,19.333333333333332,59.1
720575940617373268,0.0,1.0333333333333334,5.733333333333333,8.866666666666667,0.0,0.0
720575940617471133,1.6,0.5,0.0,0.0,0.0,3.966666666666667
720575940617488477,7.066666666666666,9.433333333333334,12.6,13.633333333333333,0.0,1.6333333333333333
720575940617494877,6.733333333333333,10.3,15.466666666666667,17.633333333333333,0.0,0.7
720575940617497437,0.3,0.0,0.03333333333333333,0.0,0.0,0.3333333333333333
720575940617552057,28.666666666666668,38.166666666666664,45.13333333333333,48.56666666666667,0.0,12.366666666666667
720575940617588258,29.333333333333332,34.766666666666666,38.1,41.06666666666667,0.0,16.2
720575940617593233,42.0,56.833333333333336,68.43333333333334,74.03333333333333,0.0,19.133333333333333
720575940617629841,32.233333333333334,44.13333333333333,52.63333333333333,57.96666666666667,0.0,14.866666666666667
720575940617672920,0.06666666666666667,0.3333333333333333,1.1,1.3,0.0,0.0
720575940617937543,99.03333333333333,138.2,175.0,198.0,19.066666666666666,61.4
720575940618153105,0.06666666666666667,0.3333333333333333,1.1,1.3333333333333333,0.0,0.0
720575940618165019,86.8,106.0,119.96666666666667,126.9,0.0,40.2
720575940618291520,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0
720575940618472261,37.233333333333334,48.1,58.833333333333336,63.3,0.0,14.833333333333334
720575940618574749,33.96666666666667,35.5,39.666666666666664,39.03333333333333,0.0,19.3
720575940618696989,14.633333333333333,29.3,40.63333333333333,45.86666666666667,0.0,1.7
720575940618726171,4.833333333333333,10.033333333333333,18.4,22.533333333333335,0.0,2.466666666666667
720575940618800064,0.4,0.5333333333333333,0.06666666666666667,0.36666666666666664,0.0,0.1
720575940618859480,0.6333333333333333,9.1,18.4,22.4,0.0,0.0
720575940618864725,4.0,3.933333333333333,4.3,5.566666666666666,0.0,0.7
720575940618995393,3.5,4.766666666666667,6.466666666666667,6.833333333333333,0.0,1.5
720575940619048827,50.266666666666666,62.96666666666667,74.03333333333333,79.13333333333334,0.0,19.933333333333334
720575940619114048,17.6,24.333333333333332,29.7,33.0,0.0,7.166666666666667
720575940619173534,12.1,15.9,18.7,20.633333333333333,0.0,5.233333333333333
720575940619176094,0.03333333333333333,0.36666666666666664,0.9333333333333333,1.3,0.0,0.0
720575940619455879,1.9333333333333333,1.9666666666666666,2.566666666666667,3.2,0.0,0.4
720575940619473624,23.033333333333335,28.033333333333335,34.5,37.9,0.0,11.0
720575940619588568,17.766666666666666,32.6,43.86666666666667,48.8,0.0,1.8666666666666667
720575940619853515,28.6,33.666666666666664,36.56666666666667,37.9,0.0,16.0
720575940619877396,58.833333333333336,72.16666666666667,82.73333333333333,88.23333333333333,0.0,31.6
720575940619973712,90.96666666666667,107.13333333333334,119.6,125.8,13.266666666666667,65.43333333333334
720575940620001360,0.0,0.0,0.03333333333333333,0.1,0.0,0.0
720575940620025620,20.533333333333335,27.9,33.766666666666666,36.766666666666666,0.0,7.7
720575940620031366,35.93333333333333,45.46666666666667,52.13333333333333,55.96666666666667,0.0,19.8
720575940620062288,2.7,4.433333333333334,6.466666666666667,7.6,0.0,1.2
720575940620170887,16.633333333333333,25.933333333333334,35.3,39.53333333333333,0.0,3.2
720575940620254087,13.366666666666667,17.666666666666668,22.766666666666666,24.366666666666667,0.0,5.066666666666666
720575940620271636,0.7666666666666667,0.6333333333333333,0.8333333333333334,1.1666666666666667,0.0,0.1
720575940620274085,70.53333333333333,81.36666666666666,90.46666666666667,93.4,0.0,43.8
720575940620282900,3.5,4.8,6.5,6.833333333333333,0.0,1.5
720575940620292116,0.4,2.1666666666666665,6.533333333333333,8.733333333333333,0.0,0.03333333333333333
720575940620297819,0.2,0.13333333333333333,0.0,0.0,0.0,0.5666666666666667
720575940620301588,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
720575940620335269,43.13333333333333,55.2,66.66666666666667,72.43333333333334,0.0,16.133333333333333
720575940620374693,11.133333333333333,17.133333333333333,23.6,26.666666666666668,0.0,2.8666666666666667
720575940620473547,6.166666666666667,15.866666666666667,22.933333333333334,26.3,0.0,0.16666666666666666
720575940620474278,2.1666666666666665,4.266666666666667,10.0,13.2,0.0,0.5
720575940620673985,33.53333333333333,43.3,50.833333333333336,55.0,0.0,15.633333333333333
720575940620714150,7.833333333333333,5.466666666666667,4.466666666666667,4.4,0.0,5.9
720575940620780272,19.533333333333335,24.9,30.433333333333334,33.93333333333333,0.0,9.4
720575940620805046,5.4,9.133333333333333,12.333333333333334,14.066666666666666,0.0,2.0
720575940620873793,3.5,4.866666666666666,6.8,7.233333333333333,0.0,1.5
720575940620874757,69.83333333333333,91.03333333333333,107.4,115.2,12.1,44.93333333333333
720575940620900446,97.9,140.0,174.16666666666666,195.8,18.966666666666665,58.13333333333333
720575940621057702,3.8,7.766666666666667,14.933333333333334,18.666666666666668,0.0,0.3
720575940621261296,25.5,31.8,38.06666666666667,40.166666666666664,0.0,11.966666666666667
720575940621329328,0.0,0.03333333333333333,1.4666666666666666,3.6333333333333333,0.0,0.0
720575940621345012,0.0,0.23333333333333334,5.133333333333334,8.166666666666666,0.0,0.0
720575940621399899,34.1,45.266666666666666,52.63333333333333,56.93333333333333,0.0,15.2
720575940621422518,10.333333333333334,15.633333333333333,20.333333333333332,22.766666666666666,0.0,3.2666666666666666
720575940621468404,3.5,4.766666666666667,6.333333333333333,6.766666666666667,0.0,1.4666666666666666
720575940621502051,99.33333333333333,141.9,174.33333333333334,192.2,20.033333333333335,58.666666666666664
720575940621519130,1.9,1.5333333333333334,0.8,0.9,0.0,2.0
720575940621538142,22.1,30.033333333333335,36.96666666666667,40.666666666666664,0.0,8.233333333333333
