flyid,sugarR_100Hz,sugarR_140Hz,sugarR_180Hz,sugarR_200Hz,sugarR_20Hz,sugarR_60Hz
720575940605420902,0.0,0.17950549357115012,0.49553562491061676,0.8825468196582484,0.0,0.0
720575940605513649,1.6278820596099706,1.586050300449376,1.6110727964792761,1.6519348924485155,0.0,1.110055053689781
720575940605658033,2.2110831935702664,2.538809869910615,2.644911256650316,2.565800719723442,0.0,2.10923893594085
720575940605682790,1.8,2.0,1.6629959577688562,1.1756794725698931,0.0,1.5187714333192688
720575940606391218,0.24944382578492943,0.5374838498865699,1.106044001535804,1.1590225767142472,0.0,0.0
720575940606607234,1.8856180831641267,2.4594488994262287,1.8321208111548397,1.8427033281447003,0.0,1.9310331143946984
720575940606852018,0.47609522856952335,0.6289320754704403,1.4302291968616623,1.408308678285174,0.0,0.17950549357115012
720575940606866377,1.1234866364235145,1.4922019523732928,1.1647603473104098,1.116044602852214,0.1795054935711501,1.505545305418162
720575940607193986,2.2910453703252776,3.1048349392520045,2.0428737928059415,2.189875694087579,0.0,2.6068286394689535
720575940607250610,0.37267799624996495,0.17950549357115012,0.0,0.0,0.0,0.9433981132056605
720575940607272649,3.1904370999737464,3.1930480039541465,2.4944382578492945,2.922137725859082,0.0,3.0976693747970514
720575940607386290,1.622412469818394,1.9947152400502906,1.6196707484341792,1.520599297060939,0.0,1.4715826703096078
720575940607387314,0.0,0.0,0.33993463423951903,0.24944382578492943,0.0,0.0
720575940607451081,1.977933826552906,1.8562207723101136,2.0066555924389884,2.3713568549109882,0.5120763831912405,2.0645150089602695
720575940607689394,1.3888444437333105,1.7499206331208916,1.7220788470785984,2.0999999999999996,0.0,0.3726779962499649
720575940608188427,0.0,0.17950549357115012,0.37267799624996495,0.45338235029118146,0.0,0.0
720575940608349379,1.6683325008322931,1.5073892072793353,1.7397317800933187,1.687865186822955,0.0,1.0878112581387147
720575940608498780,1.7838784213679533,1.8618986725025255,1.6653327995729061,1.382831234179436,0.0,1.687865186822955
720575940608735241,1.8184242262647807,2.365492666561357,1.8199511592958264,1.4544949486180954,0.0,1.3585122581543223
720575940609016843,1.6683325008322931,1.453348623772776,1.4452988925785866,1.6193277068654826,0.0,1.0873004286866725
720575940609133269,1.6669999666733315,2.011356645539412,1.9043809142780934,1.5737428845483834,0.0,1.0482790129010924
720575940609405635,1.2274635093014645,1.601735170231195,1.6397831834998458,1.3287420951996498,0.0,1.2827920936595907
720575940609407939,2.594866727470475,3.4687493743743185,2.6768555350551804,2.6121510931286753,0.0,2.9634814361190496
720575940609915204,2.575310121562493,2.276449477195183,2.171532996653644,1.6428295373802144,0.0,2.2825424421026654
720575940609935172,1.6733200530681511,2.0286832072937253,1.6918103387266026,1.459071241882619,0.0,1.9677962857527254
720575940609939780,1.3349989596333858,1.4375905768565218,1.398411797560202,1.3354150416006754,0.0,1.0482790129010924
720575940609993284,1.54344492037203,1.5779733838059504,1.8345450541089348,1.9058389811897072,0.0,1.5040685563571303
720575940610000964,1.8785337071473829,1.7841898254763513,1.8961950204437188,1.687865186822955,0.0,1.2405196043952265
720575940610001220,1.8366636418607885,2.417758374105145,2.279376132970501,3.0259984578096977,0.0,1.18133634311129
720575940610054980,5.543364401596641,6.048323918427503,5.345403009440292,3.6872151490732894,0.0,4.912116538610306
720575940610058052,0.0,0.24944382578492943,0.37267799624996495,0.618241233033047,0.0,0.1795054935711501
720575940610173048,0.5120763831912405,0.47609522856952335,0.24944382578492943,0.1795054935711501,0.0,0.24944382578492943
720575940610232274,1.6397831834998458,1.4177446878757827,1.0770329614269007,1.2242911781471306,0.0,0.7717224601860151
720575940610258552,2.1346350195447155,2.10923893594085,1.7156145643277032,2.0450482200237294,0.0,1.9913702708325127
720575940610611246,1.8208667044996885,1.9035055380358978,1.7451520150277902,1.4360439485692011,0.0,0.9893881386437221
720575940610621026,1.4590712418826193,1.4817407180595248,1.4360439485692011,1.3601470508735443,0.0,1.4715826703096078
720575940610677828,2.586288632169443,2.293953404544701,1.8393839548428526,1.80246744461277,0.0,2.6350205565295566
720575940610803554,1.62651638650078,1.3924399049470282,1.5509853498842452,1.1571036638473189,0.0,1.6
720575940610916465,1.430229196861662,1.3682917167849196,1.4047538337136984,1.8607047649270485,0.0,0.8537498983243798
720575940611015122,2.2163533613172386,2.348521993841138,2.4369835635245654,2.109238935940849,0.0,0.7272474743090476
720575940611151406,0.9551032521262935,1.4715826703096075,1.6719914938645934,1.339983416149452,0.0,0.17950549357115012
720575940611160930,1.6603212540549699,1.5902480589168748,2.044233080861595,2.098941532190822,0.0,2.031966753883756
720575940611164770,1.5162087220725544,1.430229196861662,1.1590225767142477,1.7950549357115013,0.0,0.6798692684790381
720575940611366058,0.7951240294584374,1.7026123718829511,1.5187714333192688,1.303414319734477,0.0,0.0
720575940611436408,1.4360439485692011,1.5405626677721789,1.7587874611030558,1.5567059238447492,0.0,1.586050300449376
720575940611548878,5.802777112919488,6.979652968132123,5.14252423966631,5.220046828227586,0.0,3.9113794099893826
720575940611549902,1.5423647068345696,1.6110727964792764,1.4126413400278062,1.054619467970425,0.0,0.3
720575940611772083,0.24944382578492943,0.1795054935711501,0.0,0.0,0.0,0.0
720575940611875570,10.451422019142765,12.778627991037744,12.947801186130235,13.433622825664798,3.3910011632096047,9.398345007972887
720575940611988197,0.9712534856222309,1.514375558880073,1.4681810363696828,1.5216949614017772,0.0,0.24944382578492943
720575940612036837,3.0940803695659445,2.6280537792569367,2.5086516962969037,2.9251780572585098,0.9826268648655783,3.730504880933232
720575940612064113,1.236482466066094,1.2578641509408808,1.3399834161494522,0.9568466729604883,0.0,1.5162087220725546
720575940612154339,0.0,0.17950549357115012,0.5120763831912405,0.9433981132056604,0.0,0.0
720575940612208858,1.645195023900409,1.694763175851488,1.7729448195962934,1.9745604292826515,0.0,1.3682917167849196
720575940612289010,1.3337499349161706,1.685229954635272,1.758787461103056,1.1590225767142475,0.0,0.4000000000000001
720575940612357618,1.9821424996424672,2.6248809496813377,1.7950549357115015,2.19823161250634,0.0,1.7962924780409972
720575940612364530,0.17950549357115014,0.0,0.0,0.0,0.0,0.5259911279353167
720575940612423922,2.404625172916191,2.6246692913372702,2.202019275321833,2.6449112566503166,0.24944382578492943,2.475659283683619
720575940612479205,0.9363047936792092,1.7641491496532322,1.398809017223819,1.5737428845483834,0.0,0.0
720575940612537061,1.4047538337136984,1.4605934866804429,1.6519348924485153,1.5405626677721789,0.0,0.8055363982396381
720575940612558061,1.9035055380358983,1.8547236990991407,1.9610088106776968,1.9610088106776968,0.0,2.167692065051881
720575940612574435,0.0,0.0,0.0,0.17950549357115012,0.0,0.0
720575940612603289,1.5293426329272617,1.1756794725698931,1.054619467970425,0.9826268648655783,0.0,1.5205992970609392
720575940612611301,1.62651638650078,2.3342855200015458,1.5347819244295118,1.9553345834749956,0.9285592184789413,1.828478420253664
720575940612648106,0.7063206700139031,2.1123972690339814,1.1474609652039003,1.16619037896906,0.0,0.0
720575940612670570,11.705696618883191,12.336215879361962,14.482940155767942,12.93470783074232,5.074993158178201,8.249983164965988
720575940612692633,1.6468825769380833,2.261022384281549,2.372059583287626,2.112397269033981,0.24944382578492943,2.3259406699226015
720575940612766515,1.6683325008322931,1.453348623772776,1.564892612574067,1.6947631758514883,0.0,1.0873004286866725
720575940612865814,0.0,0.24944382578492943,1.0132456102380443,1.5776212754932308,0.0,0.0
720575940612888178,2.308438625757438,2.4756592836836186,2.0450482200237294,2.3202011407059806,0.0,3.003886371574886
720575940612906518,2.0428737928059415,1.7950549357115018,1.5073892072793353,1.7838784213679535,0.6708203932499369,2.0409692686455507
720575940612952557,1.3,1.9677962857527254,1.9174636024359542,1.4696938456699067,0.0,0.6904105059069326
720575940613004402,2.7519689920733725,3.0324174441451093,3.265986323710904,2.0733762053445313,0.0,1.879716290649558
