flyid,sugarR_100Hz,sugarR_200Hz,sugarR_20Hz
720575940620335269,42.4,70.8,0.0
720575940620374693,11.2,26.8,0.0
720575940620473547,6.6,26.8,0.0
720575940620474278,2.8,13.2,0.0
720575940620673985,34.8,55.2,0.0
720575940620714150,8.4,4.4,0.0
720575940620780272,20.0,33.2,0.0
720575940620805046,6.8,13.2,0.0
720575940620873793,4.0,7.6,0.0
720575940620874757,72.6,115.2,11.8
720575940620900446,102.2,206.0,19.6
720575940621057702,3.4,20.0,0.0
720575940621261296,26.8,41.6,0.0
720575940621329328,0.0,3.0,0.0
720575940621345012,0.0,7.6,0.0
720575940621399899,35.8,57.2,0.0
720575940621422518,11.0,23.0,0.0
720575940621468404,4.0,7.4,0.0
720575940621502051,100.4,192.0,18.0
720575940621519130,2.0,0.6,0.0
720575940621538142,23.6,40.8,0.0
720575940621573030,14.0,27.8,0.0
720575940621573542,0.0,0.6,0.0
720575940621577036,2.6,15.6,0.0
720575940621586854,57.0,73.8,1.6
720575940621754367,98.8,197.2,19.2
720575940621771041,4.2,8.4,0.0
720575940621902085,0.0,3.4,0.0
720575940622027222,6.8,2.6,0.0
720575940622147873,0.0,0.2,0.0
720575940622235425,43.0,67.2,0.0
720575940622348156,16.2,25.6,0.0
720575940622474899,0.0,3.2,0.0
720575940622552675,0.6,0.8,0.0
720575940622612749,19.8,41.2,0.0
720575940622624214,3.8,7.2,0.0
720575940622695448,115.2,156.0,33.4
720575940622734106,0.0,3.4,0.0
720575940622810153,32.0,52.0,0.0
720575940623072013,4.0,7.6,0.0
720575940623192781,15.8,30.4,0.0
720575940623209165,21.0,39.0,0.0
720575940623210445,43.2,80.0,1.6
720575940623211725,49.2,78.6,0.0
720575940623224555,0.2,1.8,0.0
720575940623352063,68.6,92.4,1.6
720575940623453959,20.2,32.6,0.0
720575940623478115,4.6,20.4,0.0
720575940623578375,31.2,51.2,0.0
720575940623862015,0.0,0.8,0.0
720575940623886008,0.0,0.8,0.0
720575940624023188,19.4,32.8,0.0
720575940624084372,7.8,3.6,0.0
720575940624163303,1.6,0.6,0.0
720575940624310857,3.0,13.2,0.0
720575940624366845,1.0,2.0,0.0
720575940624484796,39.4,61.0,0.0
720575940624600840,7.6,9.8,0.0
720575940624623287,22.0,40.0,0.0
720575940624816115,0.2,0.0,0.0
720575940624897516,27.2,38.2,0.0
720575940624906483,20.0,38.6,0.0
720575940624963786,97.4,184.6,22.2
720575940624966840,22.2,41.8,0.0
720575940624986919,0.2,0.0,0.0
720575940625045180,58.8,94.8,0.0
720575940625047484,36.8,59.2,0.0
720575940625102692,38.2,63.8,0.0
720575940625164558,0.0,3.0,0.0
720575940625175054,49.0,71.4,0.0
720575940625178768,16.8,30.4,0.0
720575940625561406,0.2,0.0,0.0
720575940625580988,27.6,49.6,0.0
720575940625612474,0.6,0.6,0.0
720575940625641402,4.2,2.0,0.0
720575940625705930,48.2,75.4,0.2
720575940625737776,28.6,47.2,0.0
720575940625779075,0.0,0.8,0.0
720575940625852464,0.0,0.2,0.0
720575940625861660,30.0,48.4,0.0
720575940625867056,40.4,74.2,0.0
720575940625874992,45.0,78.8,0.0
720575940625875504,39.6,69.0,0.0
720575940626038714,6.8,2.8,0.0
720575940626159306,0.0,1.4,0.0
720575940626163658,0.0,0.2,0.0
720575940626191306,78.8,115.2,11.2
720575940626256765,14.4,16.2,0.0
720575940626278974,6.4,14.8,0.0
720575940626279742,23.8,47.2,0.0
720575940626289021,2.8,19.6,0.0
720575940626308697,14.0,32.6,0.0
720575940626468178,0.0,3.4,0.0
720575940626478082,0.4,0.8,0.0
720575940626495746,20.8,43.2,0.0
720575940626626597,19.4,32.6,0.0
720575940626860421,0.4,0.2,0.0
720575940626968216,0.0,5.0,0.0
720575940626972056,7.4,41.0,0.0
720575940626993694,15.2,24.4,0.0
720575940626999464,2.8,15.6,0.0
720575940627083294,7.2,28.2,0.0
720575940627086594,14.8,25.0,0.0
720575940627107271,8.4,21.2,0.0
720575940627383685,101.6,141.4,23.2
720575940627410451,24.2,32.2,0.0
720575940627446661,3.2,6.4,0.0
720575940627704392,0.4,8.0,0.0
720575940627739925,0.2,0.0,0.0
720575940627779983,15.4,28.4,0.0
720575940627812168,7.4,19.0,0.0
720575940627814728,1.2,6.8,0.0
720575940627819151,21.8,39.6,0.0
720575940627828296,3.8,17.6,0.0
720575940627847752,32.4,50.6,0.2
720575940627949626,0.0,1.4,0.0
720575940628114684,46.0,79.8,0.6
720575940628129129,0.2,0.2,0.0
720575940628598121,57.2,91.0,0.0
720575940628630171,17.4,19.8,0.0
720575940628648809,36.0,59.4,0.0
720575940628676457,12.0,30.6,0.0
720575940628695043,0.0,0.8,0.0
720575940628755815,42.4,67.6,0.0
720575940628826128,31.8,39.2,0.0
720575940628853239,96.8,200.8,18.6
720575940628972048,32.2,55.6,0.2
720575940628995331,0.6,2.4,0.0
720575940628997123,17.0,18.6,0.0
720575940628998659,8.6,26.2,0.0
720575940629000783,12.8,24.0,0.0
720575940629176663,101.2,185.4,21.6
720575940629207963,13.4,31.6,0.0
720575940629239934,3.6,16.8,0.0
720575940629377132,0.0,0.8,0.0
720575940629393207,0.0,0.8,0.0
720575940629421415,3.8,4.0,0.0
720575940629508599,2.4,4.2,0.0
720575940629561347,19.0,27.0,0.0
720575940629623351,0.2,8.2,0.0
720575940629664768,2.8,13.8,0.0
720575940629667639,0.0,0.8,0.0
720575940629744599,0.0,0.0,1.4
720575940629778554,72.4,115.8,0.0
720575940629804158,0.8,1.4,0.0
720575940629810748,43.4,64.6,0.0
720575940629812346,2.6,11.8,0.0
720575940629888530,102.4,148.8,28.8
720575940629975516,0.2,0.0,0.0
720575940630034231,6.2,22.8,0.0
720575940630044278,0.0,9.0,0.0
720575940630094652,6.2,15.4,0.0
720575940630233916,102.2,188.4,20.2
720575940630291767,4.4,2.2,0.0
720575940630403031,0.0,4.2,0.0
720575940630488540,6.6,20.4,0.0
720575940630579574,42.2,68.0,0.6
720575940630580854,0.2,0.0,0.0
720575940630664556,17.0,35.8,0.0
720575940630667372,26.6,47.6,0.0
720575940630674038,12.4,27.6,0.0
720575940630683385,35.8,64.0,0.0
720575940630689644,0.0,2.2,0.0
720575940630695798,1.0,0.2,0.0
720575940630771449,17.4,35.0,0.0
720575940630781433,7.6,3.6,0.0
720575940630797113,96.2,196.6,20.8
720575940630806267,17.4,35.2,0.0
720575940630820919,30.2,49.6,0.0
720575940630839371,0.2,0.4,0.0
720575940630865724,47.2,73.2,0.0
720575940630868793,82.8,126.2,0.0
720575940630903291,0.0,1.2,0.0
720575940630931999,5.2,13.6,0.0
720575940630980559,8.0,12.0,0.0
720575940630996055,44.0,64.8,0.8
720575940631108303,2.8,3.2,0.0
720575940631168057,7.2,16.0,0.0
720575940631267409,0.0,0.8,0.0
720575940631283267,18.4,21.0,0.0
720575940631340815,8.6,21.4,0.0
720575940631349335,44.4,76.6,0.0
720575940631406411,27.4,44.4,0.0
720575940631575327,0.0,0.8,0.0
720575940631629160,0.4,1.0,0.0
720575940631662648,9.4,16.4,0.0
720575940631703608,27.0,52.6,1.6
720575940631714119,4.2,18.6,0.0
720575940631918649,60.0,82.4,0.0
720575940631959097,45.6,58.4,1.6
720575940631967506,0.0,0.2,0.0
720575940631989352,0.0,1.2,0.0
720575940631994728,3.8,19.8,0.0
720575940631997032,39.8,55.4,0.0
720575940631999080,21.6,42.4,0.0
720575940632047890,63.2,88.8,1.6
720575940632118156,53.8,86.0,0.0
720575940632134227,4.2,11.2,0.0
720575940632159519,12.4,19.0,0.0
720575940632252743,47.0,69.6,0.0
720575940632304711,14.6,31.2,0.0
720575940632307025,0.0,1.4,0.0
720575940632354641,0.0,0.2,0.0
720575940632365905,22.4,45.2,0.0
720575940632425919,101.0,195.8,20.2
720575940632602532,31.2,58.8,0.0
720575940632648612,73.4,109.2,4.4
720575940632659404,0.2,6.0,0.0
720575940632722515,0.0,1.4,0.0
720575940632722771,39.0,53.2,1.6
720575940632889389,92.4,193.6,16.2
720575940632962786,4.0,0.6,0.0
720575940633116256,4.0,7.2,0.0
720575940633143833,107.2,193.8,21.0
720575940633185567,56.6,72.8,1.6
720575940633277209,65.2,98.8,0.8
720575940633293025,9.2,22.8,0.0
720575940633308371,2.2,8.0,0.0
720575940633316563,4.6,23.4,0.0
720575940633373651,3.2,15.0,0.0
720575940633434208,0.0,0.8,0.0
720575940633612698,26.4,48.4,0.0
720575940633674135,35.8,56.6,0.4
720575940634210155,0.8,1.8,0.0
720575940634301852,16.6,31.2,0.0
720575940634428058,3.8,7.0,0.0
720575940634645600,47.2,80.4,0.0
720575940634756203,4.2,3.4,0.0
720575940634825623,6.2,11.4,0.0
720575940635055039,28.6,46.2,0.0
720575940635166571,0.6,0.8,0.0
720575940635179871,45.0,78.2,0.0
720575940635211115,3.2,13.6,0.0
720575940635239672,16.6,39.2,0.0
720575940635451546,4.8,17.0,0.0
720575940635578303,30.2,46.2,0.0
720575940635611316,0.4,7.0,0.0
720575940635771316,0.0,1.4,0.0
720575940635839077,0.8,2.2,1.6
720575940636053678,52.2,76.8,5.6
720575940636165624,17.2,33.0,0.0
720575940636346487,0.6,4.6,0.0
720575940636654703,0.0,1.4,0.0
720575940636809646,15.2,26.4,0.0
720575940636828334,1.0,2.0,1.6
720575940636895406,12.2,31.8,0.0
720575940637144944,8.4,10.6,0.0
720575940637360730,1.4,6.0,0.0
720575940637568838,104.6,191.2,21.0
720575940637656286,3.6,12.2,0.0
720575940637790527,0.0,8.4,0.0
720575940637902938,0.0,0.8,0.0
720575940638088262,4.0,7.4,0.0
720575940638103349,77.6,116.0,7.0
720575940638181092,46.6,76.0,0.0
720575940638202345,104.8,200.4,19.6
720575940639170723,1.2,1.0,0.0
720575940639198397,13.8,23.2,0.0
720575940639198653,100.6,196.8,18.0
720575940639285949,58.2,86.0,0.6
720575940639332736,100.8,201.6,16.8
720575940639425112,25.0,36.6,0.0
720575940639785379,0.0,1.2,0.0
720575940639786915,16.8,39.2,0.0
720575940639972816,8.8,21.6,0.0
720575940640649691,101.2,212.2,18.6
720575940640839120,4.4,19.4,0.0
720575940641366517,42.4,75.8,0.0
720575940641480949,19.6,10.6,0.0
720575940641585627,2.0,0.4,0.0
720575940642335373,0.2,15.8,0.0
720575940642428045,46.2,72.2,0.0
720575940643543496,0.0,0.6,0.0
720575940643551392,0.0,0.8,0.0
720575940643867296,46.0,62.6,0.0
720575940644438551,0.2,0.0,0.0
720575940644653348,30.0,46.2,0.0
720575940644666148,0.0,0.6,0.0
720575940644758308,6.6,2.4,0.0
720575940644968215,5.6,1.2,0.0
720575940645045527,3.2,8.8,0.0
720575940645047831,17.4,9.6,0.0
720575940645352814,5.0,1.6,0.0
720575940645521262,49.2,66.6,0.0
720575940647029044,15.0,20.4,0.0
720575940647030324,12.6,17.4,0.0
720575940647033396,19.6,44.4,0.0
720575940647081860,0.0,1.4,0.0
720575940647518340,28.2,48.2,0.0
720575940648864633,2.4,11.2,0.0
720575940649829241,33.4,59.4,0.0
720575940652580086,80.0,114.2,7.4
720575940655011489,3.2,14.8,0.0
720575940655013025,35.6,60.4,0.0
720575940655014049,57.2,103.0,8.0
720575940660219265,72.2,91.4,0.0
720575940660220289,1.2,6.8,0.0
720575940660223873,39.2,63.6,0.0
720575940660224641,0.0,2.2,0.0
720575940660229505,30.0,47.2,0.0
